Day fraction since midnight on 8/7/2024,raw (L/min),filter (volts),sludge (volts),turbidityInfluent (NTU),turbidityEffluent (NTU),turbidityClarified (NTU),turbidityTubeSettler (),coagulantDoseController (rpm),masterflexPumpController (),coagulantDose(mg/L) (),coagDoseToFlow(mL/s) (),setGlobalVariables (),flocculatedTurbidity (NTU),flocSaturation (),tubeSettlerController (),shiftedInfluent (NTU),DOM (mg/L)
0.37957881,30.35024834,0.38837361,0.40482917,26.258564,2.44713306,0.0,0.74599582,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37963669,30.31663895,0.38831043,0.40828964,26.16357422,2.44814038,0.0,0.74599582,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37969455,30.33652878,0.3882165,0.40652955,26.40026474,2.42903376,0.0,0.74599999,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37975242,30.24959755,0.38833719,0.40806007,26.29654312,2.39231229,0.0,0.67393547,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37981029,30.26213837,0.38834381,0.41255805,26.29654312,2.39231229,0.0,0.67393547,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37986816,30.31567764,0.38831931,0.41130772,26.29654999,2.50127554,0.0,0.66871655,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37992603,30.32047653,0.38846219,0.40859696,26.29654999,2.53513646,0.0,0.65818447,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37998391,30.37773132,0.38813674,0.40856713,26.22133255,2.56588101,0.0,0.62238514,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38004177,30.4037571,0.38820484,0.4058291,26.28000641,2.54516506,9.99e-06,0.57825583,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.38009964,30.46400833,0.38830969,0.40097681,26.28000641,2.49463058,0.0,0.56373006,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
